"fips" "longitude" "latitude"
"8905" 18089 -87.3816680908203 41.4320907592773
"8961" 18091 -86.7467880249023 41.5439796447754
"9017" 18093 -86.4892120361328 38.8376808166504
"9073" 18095 -85.7196502685547 40.1614952087402
"9129" 18097 -86.1366195678711 39.7817611694336
"9185" 18099 -86.2667236328125 41.3265838623047
"9241" 18101 -86.7995986938477 38.7070999145508
"9297" 18103 -86.0402984619141 40.7492599487305
"9353" 18105 -86.5074081420898 39.1567344665527
"9409" 18107 -86.8888549804688 40.0441131591797
"9465" 18109 -86.4514236450195 39.4817237854004
"9521" 18111 -87.3972549438477 40.9631690979004
"9577" 18113 -85.4172744750977 41.3984260559082
"9689" 18117 -86.4953002929688 38.5415115356445
"9745" 18119 -86.8359985351562 39.3076095581055
"9801" 18121 -87.197883605957 39.7759094238281
"9857" 18123 -86.6423187255859 38.0812835693359
"9913" 18125 -87.2364883422852 38.402172088623
"9969" 18127 -87.0679931640625 41.4628868103027
"10025" 18129 -87.8564376831055 38.0346794128418
"10081" 18131 -86.6988906860352 41.0417404174805
"10137" 18133 -86.8392639160156 39.6722183227539
"10193" 18135 -85.0105895996094 40.157772064209
"10249" 18137 -85.2639694213867 39.0972442626953
"10305" 18139 -85.4633407592773 39.6180229187012
"10361" 18141 -86.296760559082 41.6157073974609
"10417" 18143 -85.7420425415039 38.6812858581543
"10473" 18145 -85.7953109741211 39.5265083312988
"10529" 18147 -87.0173416137695 38.0204238891602
"10585" 18149 -86.6464233398438 41.2813262939453
"10641" 18151 -85.0021743774414 41.6435852050781
"10697" 18153 -87.4129028320312 39.0936431884766
"10809" 18157 -86.900520324707 40.383960723877
"10865" 18159 -86.0470199584961 40.3041458129883
"10921" 18161 -84.923454284668 39.6223068237305
"10977" 18163 -87.5815048217773 38.0401229858398
"11033" 18165 -87.4596176147461 39.8576164245605
"11089" 18167 -87.3923950195312 39.4304733276367
"11145" 18169 -85.7933349609375 40.8473587036133
"11201" 18171 -87.3540573120117 40.3501739501953
"11257" 18173 -87.2787551879883 38.0930023193359
"11313" 18175 -86.1008987426758 38.5921058654785
"11369" 18177 -85.0100860595703 39.8628425598145
"11425" 18179 -85.2213287353516 40.7292594909668
"11481" 18181 -86.857536315918 40.7462272644043
"11537" 18183 -85.500373840332 41.139835357666
"11593" 19001 -94.4709777832031 41.330696105957
"11649" 19003 -94.6993865966797 41.028995513916
"11705" 19005 -91.375129699707 43.2838325500488
"11761" 19007 -92.8687591552734 40.7429542541504
"11817" 19009 -94.9044799804688 41.6839408874512
"11873" 19011 -92.0646667480469 42.0800895690918
"11929" 19013 -92.3100051879883 42.469596862793
"11985" 19015 -93.9314117431641 42.0366439819336
"12041" 19017 -92.3181915283203 42.7746238708496
"12097" 19019 -91.8388442993164 42.4711112976074
"12153" 19021 -95.1510848999023 42.7354469299316
"12209" 19023 -92.790153503418 42.7316818237305
"12265" 19025 -94.6405181884766 42.3851852416992
"12321" 19027 -94.8603744506836 42.0361404418945
"12377" 19029 -94.9278945922852 41.331485748291
"12433" 19031 -91.1324691772461 41.7722587585449
"12489" 19033 -93.2611389160156 43.0817718505859
"12545" 19035 -95.6240310668945 42.7354278564453
"12601" 19037 -92.3177871704102 43.0600280761719
"12657" 19039 -93.7852554321289 41.0289764404297
"12713" 19041 -95.1510696411133 43.0824775695801
"12769" 19043 -91.350456237793 42.8475608825684
"12825" 19045 -90.5353622436523 41.9012413024902
"12881" 19047 -95.3820953369141 42.0371208190918
"12937" 19049 -94.0395812988281 41.6863059997559
"12993" 19051 -92.4100875854492 40.747688293457
"13049" 19053 -93.7865829467773 40.7373847961426
"13105" 19055 -91.3677062988281 42.4712104797363
"13161" 19057 -91.189094543457 40.9238166809082
"13217" 19059 -95.1511383056641 43.3776588439941
"13273" 19061 -90.8826675415039 42.4723625183105
"13329" 19063 -94.6786575317383 43.3778686523438
"13385" 19065 -91.8441772460938 42.8626861572266
"13441" 19067 -92.7893218994141 43.0600891113281
"13497" 19069 -93.2624282836914 42.7326354980469
"13553" 19071 -95.600700378418 40.7456893920898
"13609" 19073 -94.3965530395508 42.0361404418945
"13665" 19075 -92.7888412475586 42.3927383422852
"13721" 19077 -94.4997177124023 41.6841430664062
"13777" 19079 -93.7115859985352 42.3841323852539
"13833" 19081 -93.7346038818359 43.081672668457
"13889" 19083 -93.2478485107422 42.3837432861328
"13945" 19085 -95.8186111450195 41.6902046203613
"14001" 19087 -91.5575332641602 40.9848442077637
"14057" 19089 -92.3170547485352 43.3566856384277
"14113" 19091 -94.2072906494141 42.7763519287109
"14169" 19093 -95.51318359375 42.3866310119629
"14225" 19095 -92.0644454956055 41.6862525939941
"14281" 19097 -90.5870513916016 42.173526763916
"14337" 19099 -93.0500030517578 41.6859397888184
"14393" 19101 -91.9484176635742 41.0318450927734
"14449" 19103 -91.5877685546875 41.6720161437988
"14505" 19105 -91.1313629150391 42.1210517883301
"14561" 19107 -92.1785507202148 41.3364410400391
"14617" 19109 -94.2069473266602 43.2041168212891
"14673" 19111 -91.4783935546875 40.6397132873535
"14729" 19113 -91.5981292724609 42.0791053771973
"14785" 19115 -91.2668685913086 41.2143096923828
"14841" 19117 -93.3278350830078 41.0295257568359
"14897" 19119 -96.2248611450195 43.3801727294922
"14953" 19121 -94.0152816772461 41.3328094482422
"15009" 19123 -92.6408386230469 41.3351402282715
"15065" 19125 -93.0992965698242 41.3344078063965
"15121" 19127 -92.9990921020508 42.0358505249023
"15177" 19129 -95.6181640625 41.0321464538574
"15233" 19131 -92.7888946533203 43.3564643859863
"15289" 19133 -95.9685516357422 42.0498008728027
"15345" 19135 -92.8690719604492 41.0298271179199
"15401" 19137 -95.1560821533203 41.0300331115723
"15457" 19139 -91.1360855102539 41.4800338745117
"15513" 19141 -95.624885559082 43.0831031799316
"15569" 19143 -95.6243057250977 43.3783187866211
"15625" 19145 -95.1505584716797 40.7391014099121
"15681" 19147 -94.6783065795898 43.081974029541
"15737" 19149 -96.2062377929688 42.7372627258301
"15793" 19151 -94.6787414550781 42.7342071533203
"15849" 19153 -93.5705490112305 41.683422088623
"15905" 19155 -95.5462799072266 41.335319519043
"15961" 19157 -92.5296173095703 41.6864738464355
"16017" 19159 -94.2437515258789 40.7351875305176
"16073" 19161 -95.105583190918 42.3861351013184
"16129" 19163 -90.6352310180664 41.6323089599609
"16185" 19165 -95.3102493286133 41.6849594116211
"16241" 19167 -96.1734466552734 43.0837554931641
"16297" 19169 -93.4650039672852 42.0362243652344
"16353" 19171 -92.5244522094727 42.0700492858887
"16409" 19173 -94.6960906982422 40.7375106811523
"16465" 19175 -94.2424011230469 41.0276794433594
"16521" 19177 -91.9483261108398 40.7513465881348
"16577" 19179 -92.4095611572266 41.0305976867676
"16633" 19181 -93.5610427856445 41.3316688537598
"16689" 19183 -91.7168960571289 41.3360366821289
"16745" 19185 -93.3275604248047 40.7398262023926
"16801" 19187 -94.1818008422852 42.4278755187988
"16857" 19189 -93.7340850830078 43.37744140625
"16913" 19191 -91.8436965942383 43.2907333374023
"16969" 19193 -96.0388793945312 42.3889007568359
"17025" 19195 -93.260871887207 43.3774681091309
"17081" 19197 -93.7352066040039 42.7329521179199
"21673" 21001 -85.2841339111328 37.1000137329102
"21729" 21003 -86.1948013305664 36.7510871887207
"21841" 21007 -88.9921112060547 37.0534172058105
"21897" 21009 -85.9360122680664 36.9691429138184
"21953" 21011 -83.7479782104492 38.1482734680176
"22065" 21015 -84.7243576049805 38.9590263366699
"22121" 21017 -84.2182464599609 38.216682434082
"22233" 21021 -84.8700942993164 37.6271553039551
"22345" 21027 -86.4283752441406 37.7741813659668
"22401" 21029 -85.6869201660156 37.9734497070312
"22457" 21031 -86.68603515625 37.1992874145508
"22513" 21033 -87.8576126098633 37.1530456542969
"22569" 21035 -88.2783432006836 36.6213073730469
"22681" 21039 -88.9732513427734 36.8614044189453
"22737" 21041 -85.1058959960938 38.6699867248535
"22849" 21045 -84.931282043457 37.3306884765625
"22905" 21047 -87.4902420043945 36.8946495056152
"22961" 21049 -84.1476669311523 37.9689292907715
"23073" 21053 -85.1413955688477 36.7265815734863
"23129" 21055 -88.096923828125 37.3472938537598
"23185" 21057 -85.3922500610352 36.7872772216797
"23241" 21059 -87.0968551635742 37.7401466369629
"23297" 21061 -86.2471542358398 37.2180633544922
"23465" 21067 -84.4604415893555 38.0294876098633
"23521" 21069 -83.6954956054688 38.3718643188477
"23577" 21073 -84.8764572143555 38.2404479980469
"23633" 21075 -89.1829986572266 36.5597686767578
"23745" 21079 -84.5557632446289 37.6563568115234
"23857" 21083 -88.6504058837891 36.7233390808105
"23913" 21085 -86.3462295532227 37.4601020812988
"23969" 21087 -85.5462112426758 37.2658004760742
"24025" 21089 -82.9303970336914 38.5514450073242
"24081" 21091 -86.7824783325195 37.842643737793
"24137" 21093 -85.9642944335938 37.6978149414062
"24249" 21097 -84.3331604003906 38.4487380981445
"24305" 21099 -85.8948287963867 37.3063774108887
"24361" 21101 -87.5957412719727 37.7960243225098
"24417" 21103 -85.1144638061523 38.4485092163086
"24473" 21105 -88.9644012451172 36.6799430847168
"24529" 21107 -87.526481628418 37.3123893737793
"24641" 21111 -85.6730880737305 38.190803527832
"24697" 21113 -84.5899124145508 37.8616561889648
"24809" 21121 -83.8561706542969 36.8923568725586
"24865" 21123 -85.7001190185547 37.5470085144043
"25089" 21135 -83.3777770996094 38.5328483581543
"25145" 21137 -84.6546020507812 37.4510154724121
"25201" 21139 -88.3605270385742 37.1867370605469
"25257" 21141 -86.869010925293 36.8530502319336
"25313" 21143 -88.0856170654297 37.0211791992188
"25369" 21145 -88.7095031738281 37.0503311157227
"25481" 21149 -87.2441787719727 37.5347938537598
"25537" 21151 -84.2714080810547 37.7144317626953
"25649" 21155 -85.2734375 37.5575637817383
"25705" 21157 -88.3277053833008 36.8659553527832
"25817" 21161 -83.8270568847656 38.5961608886719
"25873" 21163 -86.2010040283203 37.9507064819336
"25985" 21167 -84.8752593994141 37.8146896362305
"26041" 21169 -85.6299362182617 36.996883392334
"26097" 21171 -85.7228851318359 36.7094497680664
"26153" 21173 -83.9149703979492 38.0398254394531
"26265" 21177 -87.1426620483398 37.2271041870117
"26321" 21179 -85.4525833129883 37.812328338623
"26433" 21183 -86.8317108154297 37.4837913513184
"26489" 21185 -85.4344177246094 38.3996162414551
"26657" 21191 -84.3581237792969 38.6969985961914
"26769" 21199 -84.5773696899414 37.0929336547852
"26881" 21203 -84.3140258789062 37.3646697998047
"26993" 21207 -85.0481414794922 36.9984893798828
"27049" 21209 -84.5881958007812 38.2859725952148
"27105" 21211 -85.2104415893555 38.2145385742188
"27161" 21213 -86.5640106201172 36.7300262451172
"27217" 21215 -85.3126602172852 38.0414695739746
"27273" 21217 -85.3221130371094 37.3704605102539
"27329" 21219 -87.1789703369141 36.8443832397461
"27385" 21221 -87.8736419677734 36.8095474243164
"27497" 21225 -87.9548187255859 37.6633796691895
"27553" 21227 -86.4191131591797 36.9956359863281
"27609" 21229 -85.1764755249023 37.7483558654785
"27665" 21231 -84.8369674682617 36.7938461303711
"27721" 21233 -87.6665191650391 37.5260696411133
"27889" 21239 -84.7373962402344 38.0529823303223
"28057" 26005 -85.8932800292969 42.5913391113281
"28225" 26011 -83.8874816894531 44.064582824707
"28337" 26015 -85.3083114624023 42.5950393676758
"28393" 26017 -83.9921722412109 43.7114753723145
"28505" 26021 -86.4239501953125 41.936393737793
"28561" 26023 -85.059196472168 41.9159774780273
"28617" 26025 -85.0049514770508 42.2464485168457
"28673" 26027 -86.000846862793 41.9166297912598
"28953" 26037 -84.6020584106445 42.9447059631348
